Task,Source,Target,Generated,ProbHall
MT,Не волнуйся. Это только временно.,Don't worry. It's only temporary.,"Don't worry, it's only temporary.",0.00
MT,"Тома никогда нет там, где он должен быть.",Tom is never where he's supposed to be.,Tom is never where he should be.,0.00
MT,Мне сложно работать с Томом.,I have trouble working with Tom.,It's hard for me to work with Tom.,0.00
MT,"Воду, пожалуйста.",I'd like some water.,"Water, please.",0.00
MT,"Я не ожидал, что Том предаст меня.",I didn't think that Tom would betray me.,I didn't expect Tom to betray me.,0.00
MT,"Всё не так плохо, как думает Том.",Things aren't as bad as Tom thinks.,It's not as bad as Tom thinks.,0.00
MT,Не усложняйте.,Keep it simple.,Don't complicate it.,0.00
MT,"Почему вы не можете принять меня таким, какой я есть?",Why can't you accept me as I am?,Why can't you accept me as I am?,0.00
MT,Ненавижу это место.,I hate this place.,I hate this place.,0.00
MT,Том находится там в качестве добровольца.,Tom is there as a volunteer.,Tom is here as a volunteer.,0.00
MT,Можно мне тоже одну?,"Can I have one, too?",Can I have one too?,0.00
MT,"Ты в жизни не такой, как на фотографии.",You look different than your picture.,You're different in life than in a picture.,0.00
MT,Она начала осваиваться в своем новом офисе.,She began to get the feel of her new office.,She started working in her new office.,1.00
MT,У меня сейчас нет дел.,I don't have anything to do now.,I don't have anything to do right now.,0.00
MT,Экватор делит землю на два полушария.,The equator divides the earth into two hemispheres.,The equator divides the earth into two hemispheres.,0.00
MT,Я хотел бы стать христианином.,I would like to become a Christian.,I would like to become a Christian.,0.00
MT,Все будут тебе завидовать.,Everyone will envy you.,Everyone will be jealous of you.,0.00
MT,Том купил себе новое пианино.,Tom bought himself a new piano.,Tom bought a new piano.,0.00
MT,"Вы знали, что у Тома три брата?",Did you know that Tom had three brothers?,Did you know Tom had three brothers?,0.00
MT,Не давайте Тому прыгать на кровати.,Don't let Tom jump on the bed.,Don't let Tom jump on the bed.,0.00
MT,Впредь обещаю быть пунктуальным.,"From now on, I promise to be punctual.",I promise to be punctual.,0.00
MT,Поделите это между собой.,Divide this among yourselves.,Share this with each other.,0.00
MT,У Тома есть выбор.,Tom has a choice.,Tom has a choice.,0.00
MT,"Мы надеемся, что нам не понадобится это делать.",We're hoping we won't have to do that.,We hope we don't need to do that.,0.00
MT,Как ты его уговорил?,How did you convince him?,How did you persuade him?,0.00
